experiment_group,subject,dimension,train_keep_prob,disable_dropout,folds,n_folds,mean_accuracy,std_accuracy,mean_best_accuracy,std_best_accuracy,source_csv_count
strict_200ep_full,s25,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.925,0.024367,0.93875,0.018071,1
strict_200ep_full,s25,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.8975,0.026101,0.91875,0.023881,1
strict_200ep_full,s26,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.88375,0.036679,0.9075,0.028614,1
strict_200ep_full,s26,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.9025,0.032016,0.92,0.031225,1
strict_200ep_full,s27,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.95875,0.02375,0.97,0.015,1
strict_200ep_full,s27,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.9575,0.0225,0.97875,0.012562,1
strict_200ep_full,s28,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.88625,0.03599,0.9025,0.034821,1
strict_200ep_full,s28,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.89,0.03,0.91125,0.030847,1
strict_200ep_full,s29,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.97875,0.017722,0.9825,0.015,1
strict_200ep_full,s29,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.9725,0.019203,0.98375,0.01375,1
strict_200ep_full,s30,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.9575,0.021065,0.975,0.016771,1
strict_200ep_full,s30,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.97375,0.010383,0.98875,0.00875,1
strict_200ep_full,s31,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.9175,0.030721,0.9525,0.019203,1
strict_200ep_full,s31,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.92625,0.01625,0.95125,0.019725,1
strict_200ep_full,s32,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.90375,0.024399,0.92875,0.01375,1
strict_200ep_full,s32,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.89625,0.026839,0.9225,0.027272,1
