experiment_group,result_root,subject,dimension,fold,test_accuracy,test_loss,best_test_accuracy,best_test_loss,best_epoch,true_count_0,true_count_1,pred_count_0,pred_count_1,best_pred_count_0,best_pred_count_1,disable_dropout,train_keep_prob,standardize,train_phase_train,use_channel_attention,use_self_attention,split_protocol,train_split_units,test_split_units,source_csv
trial_level_s01_s08,full_acrnn,s01,valence,2,0.518750011920929,3.4343514442443848,0.6312500238418579,0.6911602020263672,5,100,60,99,61,155,5,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s01_summary.csv
trial_level_s01_s08,full_acrnn,s01,valence,3,0.6937500238418579,1.256835699081421,0.8062499761581421,0.5510591864585876,70,60,100,89,71,69,91,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s01_summary.csv
trial_level_s01_s08,full_acrnn,s01,valence,4,0.38749998807907104,3.3804750442504883,0.6312500238418579,0.6903203129768372,13,100,60,44,116,143,17,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s01_summary.csv
trial_level_s01_s08,full_acrnn,s01,valence,5,0.71875,1.9017255306243896,0.75,0.84144526720047,91,80,80,91,69,96,64,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s01_summary.csv
trial_level_s01_s08,full_acrnn,s02,valence,1,0.45625001192092896,1.5721979141235352,0.625,0.6823590397834778,1,60,100,93,67,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s02_summary.csv
trial_level_s01_s08,full_acrnn,s02,valence,2,0.5562499761581421,1.0402984619140625,0.5750000476837158,1.0455741882324219,186,80,80,107,53,98,62,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s02_summary.csv
trial_level_s01_s08,full_acrnn,s02,valence,3,0.42500001192092896,1.869536280632019,0.6499999761581421,0.8840214014053345,121,60,100,88,72,16,144,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s02_summary.csv
trial_level_s01_s08,full_acrnn,s02,valence,4,0.4937500059604645,1.396306037902832,0.5249999761581421,0.7086204886436462,86,80,80,65,95,18,142,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s02_summary.csv
trial_level_s01_s08,full_acrnn,s02,valence,5,0.4375,2.476137161254883,0.5562499761581421,0.744693398475647,73,80,80,54,106,29,131,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s02_summary.csv
trial_level_s01_s08,full_acrnn,s03,valence,1,0.33125001192092896,3.399986982345581,0.762499988079071,0.6878883838653564,15,40,120,85,75,14,146,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s03_summary.csv
trial_level_s01_s08,full_acrnn,s03,valence,2,0.574999988079071,3.3002023696899414,0.625,0.6818599700927734,1,60,100,28,132,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s03_summary.csv
trial_level_s01_s08,full_acrnn,s03,valence,3,0.550000011920929,2.1104791164398193,0.6812499761581421,0.6524693369865417,55,60,100,100,60,43,117,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s03_summary.csv
trial_level_s01_s08,full_acrnn,s03,valence,4,0.581250011920929,1.808680534362793,0.8937499523162842,0.34374722838401794,137,120,40,55,105,105,55,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s03_summary.csv
trial_level_s01_s08,full_acrnn,s03,valence,5,0.5562499761581421,2.0539298057556152,0.6000000238418579,1.2839773893356323,102,80,80,131,29,124,36,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s03_summary.csv
trial_level_s01_s08,full_acrnn,s04,valence,1,0.53125,1.4626047611236572,0.625,0.6833109259605408,1,100,60,105,55,160,0,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s04_summary.csv
trial_level_s01_s08,full_acrnn,s04,valence,2,0.612500011920929,1.430540680885315,0.6875,1.0152957439422607,164,100,60,84,76,112,48,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s04_summary.csv
trial_level_s01_s08,full_acrnn,s04,valence,3,0.44999998807907104,2.1534032821655273,0.512499988079071,0.8895177245140076,72,80,80,110,50,154,6,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s04_summary.csv
trial_level_s01_s08,full_acrnn,s04,valence,4,0.59375,0.8541811108589172,0.793749988079071,0.5895241498947144,95,120,40,87,73,137,23,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s04_summary.csv
trial_level_s01_s08,full_acrnn,s04,valence,5,0.606249988079071,0.929489254951477,0.6624999642372131,0.6436932682991028,132,80,80,83,77,58,102,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s04_summary.csv
trial_level_s01_s08,full_acrnn,s05,valence,1,0.6499999761581421,1.8909327983856201,0.6875,1.5891973972320557,151,80,80,54,106,58,102,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s05_summary.csv
trial_level_s01_s08,full_acrnn,s05,valence,2,0.5062500238418579,2.0506510734558105,0.625,0.6781362891197205,1,60,100,63,97,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s05_summary.csv
